score,content,sentiment
3,Entah kenapa live agentnya kurang baca informasi yg dikeluhkan.,Netral
5,Pelayanan nya cepat sekaliii,Positif
5,Pln okee👍👍👍👍👍,Positif
5,Aplikasi mempermudah dan hemat waktu,Positif
5,Penanganan dengan masalh yg terjadi dengan kelistrikan di rumah saya amat sangat cepat di tangani oleh pihak pln setelah say memakai apk ini,Positif
5,nice,Positif
5,Mudah dan simple beli dan bayar token lostrik,Positif
5,BISA MELAKUKAN BACA METER MANDIRI,Positif
5,Mudah di akses dan cepat respon,Positif
5,"Pernah bug pada pembayaran, nunggu refund sampai sebulan. Yah gapapalah, tapi semoga jangan ada lagi bug pada pembayaran 🤓🤓.",Negatif
5,Aplikasinya sangat membantu sekali dan sangat fleksibel dan recommended kalok ada masalah pada listrik tidak ribet dan klok pengaduan lewat aplikasi ini sangat fast respon,Positif
5,"pelayanan sangat memuaskan, gerak cepat, sat set",Positif
5,mudah dan cepat,Positif
5,merespon keluhan dan penanganan dengan cepat! mantap PLN. jaya selalu!!!,Positif
5,bagus mudah,Positif
5,Pln terbaik pelayanannya sip,Positif
5,Good,Positif
5,Mantap betul,Positif
5,Bgus,Positif
5,Mantap mempermudah sekali,Positif
5,Pln mobile mantap,Positif
5,"sangat mudah dan efisiensi, recommended dan bermanfaat..saya suka saya suka thanks PLN Mobile...",Positif
5,"trimakasih pak, setelah pengaduan langsung di tangani✨🙏🙏",Positif
5,Sangat membantu,Positif
5,Terbantuuu,Positif
5,sekarang udah ga ribet makasi pln mobile,Positif
5,terimakasih PLN sudah memudahkan kami sebagai pelanggan setiamu karna dgn kemudahan dr aplikasi ini rumah saya yg terjadi kerusakan pada KWH meternya jadi dapat diatasi dengan baik!!!,Positif
5,aplikasi bagus dan mempermudah pelanggan,Positif
5,semoga lebih banyak hal baik yg diberikan dari PLN dari apps ini😁😇,Positif
5,Layanan PLN yang terbaik sangat 👍👍👍,Positif
5,"Mantapp, terus berkembang pln kuu",Positif
5,"bagus, sangat membantu. thanks👍",Positif
5,Pln mobile sgt membantu saya,Positif
5,Gooood,Positif
5,bagus,Positif
5,Pelayanan cepat,Positif
5,"Bagus aplikasinya, bisa lebih membantu pelanggan kapanpun dan dimanapun",Positif
5,PLN sungguh terbaik,Positif
5,Apk mantap,Positif
5,Memudahkan pelayanan,Positif
5,Bagus sekali,Positif
5,"Aplikasi pln mobi, terbaik👍🏽",Positif
5,cukup membantu,Positif
5,Ok,Positif
5,Pln terbaik mantapppo,Positif
5,Mantap,Positif
5,aplikasi ini sangat membantu kamu sebagai pelanggan setia PLN,Positif
5,"luar biasa 👍👍 terima kasih banyak,🙏🙏",Positif
5,baik sekali pln mobile 😊,Positif
5,"Cepat,tanggap,ramah,mantab",Positif
5,Sebagai pelanggan PLN aplikasi ini sangat membantu,Positif
5,"Aplikasi ini luar biasa! Sangat mudah digunakan, tampilannya menarik, dan fiturnya lengkap. Benar-benar membantu dalam aktivitas sehari-hari. Terima kasih untuk pengembangnya!""",Positif
5,"Aplikasinya sangat friendly, informatif dan fleksibel bagi pelanggan, terima kasih PLN 👍.",Positif
5,Terimakasih bapak Ramadan diah.. Pelayanan-nya sangat memuaskan,Positif
5,"sebagai pelanggan setia PLN, kami sangat terbantu dgn aplikasi ini 👍",Positif
5,Aplikasi ini sangat bermanfaat. Luar biasa pln mobile,Positif
5,Sangat membantu,Positif
5,bagus,Positif
5,Membantu dalam proses naik daya,Positif
5,memudahkan kita,Positif
5,"Mantap PLN mobile.., Sangat membantu",Positif
5,Pln mantap,Positif
5,Sangt bagus,Positif
5,keren aplikasi nya Joss lancar cepat,Positif
3,Ga bisa nambain IDPel udah d coba bebrapa kali tidak muncul d daftar,Negatif
2,Cepat tanggap,Positif
5,Semua menu berguna sekali.terimakasih,Positif
5,PLN mobile👍,Positif
5,penanganan yang cepat petugas yang ramah baik .. the best deh terimakasih pln mobile,Positif
5,Pln mobile ok,Positif
5,Sangat memuaskan,Positif
5,aplikasi sangat bagus dan bermanfaat bagi semua masyarakat dan efektif bangettt😍,Positif
1,Saya sudah membeli token listrik tapi transaksi nya gagal dan uang sudah di transfer?? Knpa??,Negatif
5,Oke mantap,Positif
5,PLN MOBILE aplikasi super yang membawa kemudahan dan kecepatan layanan kepada pelanggan PLN,Positif
5,Aplikasi ini sangat baik,Positif
5,Terimakasih,Positif
1,Semua aplikasi pemerintah ini pakai pulsa kalo gak bisa digunakan percuma gak ush dibuat,Negatif
5,"dengan aplikasi ini, mempermudahkan saya untuk transaksi listrik, pln mobile MANTAP 😜👍🏻👍🏻",Positif
5,PLN MANTAP,Positif
5,Aplikasi yg sangat membantu pokonya mantap lah👍👍👍,Positif
5,aplikasi nya bagus,Positif
5,Bagus,Positif
5,"saya sangat suka dengan aplikasi pin mobile ini, karena sangat mempermudah saya untuk membeli token listrik transaksinya pun tidak ribet sama sekali., jika ada gangguan pun tidak perlu jauh jauh ke kantor pin, tinggal klik klik saja.",Negatif
5,dengan adanya apl ini memudahkan saya untuk urusan listrik,Positif
5,"keren banget, respon petugasnya cepat",Positif
5,aplikasi ini mempermudahkan pembayaran kwh meter,Positif
5,"Aplikasi sangat bermanfaat bagi masyarakat,pelayanan semakin meningkat",Positif
5,"Lebih mudah, dan aman lewat, PLN Mobile",Positif
5,"Sangat membantu,respon cepat, mantap pln mobile.. Terbaik 👍",Positif
5,Aplikasi yg sagat memusakan dan bermapaat dan membantu,Positif
5,Mantap pelayanan yg maksimal,Positif
5,Membantu sekali untuk aplikasinya. Beli token makin mudah . Tks,Positif
5,Mantep sekalee,Positif
5,Pln ok,Positif
5,Mantap,Positif
5,petugas respon cepat dan amat ok,Positif
5,"PLN Mobile membantu masyarakat dalam mengetahui informasi terkait inovasi dan aplikasi. Selain itu, waktu masyarakat menjadi lebih efisien pelanggan mudah dalam mengurus masalah kelistrikan.",Positif
5,"Cepat, terpercaya",Positif
5,"Pelayanan cukup memuaskan ,terima kasih",Positif
5,"cukup dengan app PLN mobile kami pelanggan sangat di mudahkan dari laporan gangguan, cek tagihan pembayaran listrik, beli token, infomasi yg bersangkutan dengan listrik, promo dan ada hadiah nya juga, PLN mobile sangat berguna dan memudahkan pelanggan dan sekarang sekarang ad swacam yg bisa di gunakan untuk pencatatan kwh meter mandiri serta langsung dapat perkiraan pemakaian kwh perbulan beserta jumlah rupiah yang akan dibayar ..sangat baik 👍",Positif
5,Praktis dan sangat membantu bagi pelanggan utk melaporkan gangguan,Positif
5,Terimah kasih atas pelayan dari pln mobile,Positif
5,"aplikasi ini sangat membantu.., mantap pln mobile",Positif
5,Plnm mantaap,Positif
5,Mantap pln mobile sangat membantu,Positif
5,"Okelah,karna petugas sudah datang kerumah ya tak rubah bintangnya",Positif
5,Saya membatu masyarakat,Positif
3,Susah upgrade akun,Negatif
5,"aplikasi yg membantu utk nyampaikan keluhan soal listrik di rumah, dan bisa beli token listrik juga dengan cepat dan aman",Positif
5,Jossss sdh menyala,Positif
5,Aplikasinya sangat membantu,Positif
5,Aplikasi pln mobile cukup membantu tp sedikit masukan klu ada pengaduan tolong cepat di tindaki,Positif
5,Hatur nuhun,Negatif
5,Ok pln,Positif
5,Energi baru untuk indonesia maju,Positif
5,Terimakasih PLN Mobile sudah memberikan diskon untuk tarif dirumah saya,Positif
5,tinggi,Positif
5,Mantap,Positif
5,Oke...,Positif
5,Terimakasih pln,Positif
5,dengan pln mobile saya bisa membeli token dengan harga murah,Positif
5,Bagus,Positif
5,"Diskonny gede bgt, biasanya 1 blan 500 skarang 250 udah lebih bgt, harus digaskan nih biar dapet lebih banyak",Negatif
5,Memang mantap sangat memudahkan,Positif
5,Makasih PLN Mobile sudah membantu saya untuk mendapatkan diskon,Positif
1,Sampai saat ini belum bisa pembayaran pakai shopee pay kemarin kemarin belum upgrade bisa sekarang malah di persulit orang hadeh,Negatif
5,Mantap aplikasi pln mobile sangat membantu,Positif
5,Makasih PLN sekarang lebih mudah dan akurat buat laporan dan keluhan...,Positif
5,Nice,Positif
5,"Bermanfaatlah, jadi mempercepat pelayanan",Positif
5,PLN mobile terbaik,Positif
5,Terimakasih aplikasi PLN mobile.sangat membantu,Positif
5,Terima kasi petugas sudah datang,Positif
5,Terimakasih PLN teleh membantu masyarakat,Positif
5,mantap,Positif
5,"Fitur di aplikasi nya simpel, mudah dipahami orang awam. Ngisi token jadi lebih gampang dan cepet. Semoga bisa ngasih update yang lebih keren lagi...",Positif
5,"Sangat baik, responnya cepat",Positif
5,Sangat puas dengan pelayanan yg cepat dari PLN,Positif
5,Pln mantaf,Positif
5,"nggak capek capek pergi ke kantor pln dong pas listrik di rumah trobel, cukup rebahan petugas datang. terimakasih banyak pelayanan PLN, aplikasi sangat memanjakan pelanggan.",Negatif
5,Terimakasih PLN tetap jaya selalu,Positif
5,PLN terbaik,Positif
5,Semua urusan listrik semakin muda,Positif
5,"Untuk aplikasinya bagus, untuk riwayat pembelian token listrik bisa kita liat sehingga kita bisa mengatur pemakaian listrik lebih hemat lagi, untuk laporan gangguan dan keluhan respon PLN cukup cepat penanganannya.",Positif
5,Bapak PLN Nya baik dan cpet tanggap,Positif
5,Pln mobike mntap,Positif
5,Mantap PLN Mobile.....,Positif
5,Semoga menjadi lebih baik lagi dalam pelayanannya,Positif
5,Aplikasi snagat bagus,Positif
5,Jangan lupa bernafas bapak2,Netral
5,Transaksi menggunakan pln mobile semakin mudah dan nyaman 👍👍,Positif
5,Terima kasih respon nya sangat cepat,Positif
5,terimakasih kami sangat puas,Positif
5,Lebih muda dan cepat dalam bertransaksi lewat PLN mobil,Positif
5,TETAP SEMANGAT PLN💪,Positif
5,"Semenjak pake aplikasi ini, habis token listrik saat dini hari pun tidak jadi masalah karena kemudahan penggunaannya",Positif
5,Terima kasih pln sy baru pertama mendanlod appknya dan terima kasih atas pelayannya yg cepat,Positif
5,Terima kasih...,Positif
5,"Apk berjalan lancar,,petugas ramah dan cepat penanganan",Positif
5,Penanganan cepat dari admin dan staff pln,Positif
5,Aplikasi PLN Mobile memudahkan pelanggan dalam menggali informasi tentang pelayanan PLN,Positif
5,Aplikasi nya semakin baikk...👍,Positif
5,pelayanan cepat,Positif
4,Sangat membantu saya dalam masalah kelistrikan di rumah,Positif
5,App sngt membantu bagi pelanggan pln👍,Positif
5,Sangat muda dlm penggunaan dan pembelian token listrik serta laporan keluhan gangguan,Positif
5,Aplikasi pln semakin muda di guna kan .dan cepat pelayanan.mantap,Positif
5,respon cepat dan terbaik,Positif
5,"Aplikasi ini sangat membantu sekali dalam hal pembayaran tagihan listrik.., pengaduan gangguan dan baca meter mandir. Terimakasih PLN mobile.., Mantapp",Positif
5,"Banyak banget promonya,keren banget,mantap.",Positif
5,PLN mobile terbaik..,Positif
5,Aplikasi yang sangat bagus banyak promonya.,Positif
5,"Fitur nya bagus promonya banyak,trims.",Positif
5,Sanggat baguss,Positif
5,"Mantap,,sangat membantu👍👍👍",Positif
5,Nice,Positif
5,Sering2 aja ada diskon ya 👍,Positif
5,sangat membantu aplikasinya untuk perubahan dayaa,Positif
5,Aplikasi ini Banyak untuk membantu saya manatap poko nyah,Positif
5,Proses perubahan daya menjadi mudah dan bisa mengecek subsidi,Positif
5,Mantab... Semoga semakin bermanfaat.,Positif
5,"Tidak perlu diragukan lagi untuk aplikasi PLN Mobile, pokoknya mantap",Positif
2,sangat membantu,Positif
5,Sangat membantu kami dalam urusan di pln,Positif
5,Pln tiada duanya buat Indonesia raya,Positif
5,Mantaf respon nya,Positif
5,"Segala kebutuhan Listrik Anda, menjadi Lebih mudah hanya dalam genggaman sentuhan jari...",Positif
5,"Sangat membantu , memudahkan pengaduan gangguan listrik dan pasang baru dan tambah daya.. terima kasih pln",Positif
5,Pln mobil memberikan kemudahan kepada kami sebagai pelanggan setia,Positif
5,Pln mobile sangat membantu Perihal pelayanan,Positif
5,semua makin mudah,Positif
5,Terima kasih PLN mobile telah membantu,Positif
5,Mantap pisan,Positif
5,pas memuaskan,Positif
5,Aplikasi sangat mantap,Positif
5,"Pelayanan sellau trbaik,jg cepet banget. Sehat"" bapak PLN.",Positif
5,PLN Mantap,Positif
5,Mempermudah layanan,Positif
5,Sangat membantu ketika kita beli token,Positif
5,Bagus ... lapor ganguan langsung direspon ... mantap,Positif
5,"Terima kasih, puas dengan aplikasi pln ini 👍🏻👍🏻👍🏻👍🏻👍🏻",Positif
5,Sangat membantu,Positif
5,Langsung di tangani Joss. Terimakasih pelayanannya,Positif
5,Pln mobile mataaaaap👌ok ok ok,Positif
5,Pln mobile sangat membantu dalam banyak hal,Positif
5,Aplikasi yang memudahkan pembayaran tagihan listrik,Positif
5,Aplikasi yg sangat membantu. .beli token di PLN mobile admin nya lebih murah.,Positif
3,aplikasi kurang handal dan sering error,Negatif
5,"Apk nya sangat bagus sekali jadi mudah untuk mengeluhkan kendala listrik padam, dan pembayaran PLN, keren ngabbb",Positif
5,Dgn pln mobile semua permasalhan atau kebutuhan listrik pelanggan terbantu lebih mudah,Positif
5,Aplikasi ini sangat membantu 👍🏻👍🏻👍🏻,Positif
5,"Pln mobile aplikasi mantab, respon cepat, fitur lengkap dan pastinya praktis. Bisa semua ada, swacam pun bisa secara mandiri",Positif
5,bagus,Positif
5,apk terbaik,Positif
5,PLN terbaik,Positif
5,Semenjak pakai aplikasi pln mobile ini saya gak perlu keluar rumah lagi krna fitur nya banyak dan sangat aman,Positif
1,"Listrik padam 1 jalur kabel sekitar 10 rumah yg terdampak, sudah 3 kali pengaduan respon muter2 doang bahkan dibatalkan dg alasan yg mereka sendiri yang tahu, tidak ada tindakan, pln👎",Negatif
5,Pln terbaik,Positif
5,Sangat bagus,Positif
5,"Aplikasi yg sangat bagus..sangat membantu dan memudahkan dlm hal kelistrikan,respon jg sangat cepat..trimakasih pln mobile",Positif
5,Pln keren,Positif
5,Semoga di tambah fitur aplikasi biar tambah joss,Positif
5,Cepat dan tanggap,Positif
5,"Jadi Lebih Mudah untuk melunasi tagihan listrik dengan adanya PLN Mobile, Sukses selalu untuk selamanya",Positif
1,Keluhan pelanggan lewat email dan aplikasi tidak ditanggapi,Negatif
5,PLN Mobile emg sangat membantu.,Positif
5,PLN MOBILE Bagus sekali...,Positif
5,Jadi lebih mudah,Positif
5,Setelah tau dengan apk ini saya bisa dengan cepat membayar tagihan ataupun keperluan lain nya😁👍,Positif
5,"Semenjak pakai aplikasi pln mobile ini saya tidak perlu keluar rumah lagi,fitur nya banyak",Positif
5,Sangat membantu ok,Positif
5,Pelayanan nya bagus sekali 👍,Positif
5,Mantap,Positif
5,Mantab,Positif
5,Ok,Positif
5,Mantap,Positif
5,Trina kish pln,Positif
5,mudah dan praktis..mantab..pelanggan tdk usah ke pln......bisa lapor lngsung ke pln mobile..,Positif
5,Mantap,Positif
5,Mantap,Positif
5,Semakin canggih dan semakin cepat.semua ada di pln mobile..buruuuaaaannn..,Positif
5,Bagus pelayanannya ramah,Positif
5,"Aplikasinya bagus, sangat membantu pelanggan dalam melakukan pengaduan apabila terjadi gangguan",Positif
5,PLN HEBAT👍,Positif
5,Aplikasi bagus,Positif
5,"Terimakasih dengan adanya aplikasi ini sangat membantu kami ketika ada gangguan, respon sangat cepat tepat",Positif
5,Pln mantap,Positif
5,Mantul,Positif
5,PLN MOBILE gacor pelayanannya..,Positif
5,Memberikan info seputar listrik,Positif
5,Aplikasinya Bagus Mempermudah Pelayanan,Positif
5,"Aplikasi nya sangat membantu sekali dan mudah di gunakan, dengan PLN mobile juga bisa memudahkan untuk tidak harus datang langsung ke kantor PLN untuk pengajuan pasang baru atau pun perubahan daya.",Positif
5,Apk selalu di optlimalkan setiap waktu 😊,Negatif
5,Memudahkan dalam urusan kelistrikan,Positif
5,Apk ini sngat bagus dan mmbantu,Positif
5,"Sangat memudahkan skali.pitur layanan pln mobile untuk pengaduan, pembayaran.pembeian token",Positif
5,Aplikaine mantap sangat berguna untuk transaksi dan laporan gangguan,Positif
5,Cara cepat dan mudah dengan adanya apk pln mobile ini,Positif
5,Alhamdulillah dimudahkan untuk proses penerangan sementara untuk acara dirumah,Positif
5,PLN MOBILE semakin OKE,Positif
5,Pln mobile sangat membantu penyelesaian setip problem listrik,Positif
5,Menyala Abang ku,Positif
5,PLN semangkin didepan mantap jiwa,Positif
5,sangat membantu,Positif
5,Pln semskin baik..👍👍,Positif
5,Alhamdulillah pelayanannya bagus,Positif
5,Terimakasih PLN mobile semoga makin jaya selalu.,Positif
5,Mantap,Positif
5,terimakasih PLN MOBILE,Positif
5,PLN semakin menyala dengan aplikasi pln mobile nya,Positif
5,Terimakasih membantu,Positif
5,Bagus sekali,Positif
5,bagus,Positif
5,"makasih untuk aplikasi PLN mobile ,sangat mempermudah dalam membuat pengaduan listrik 🙏🙏",Positif
5,"Aplikasi sangat membantu dan Lebih Mudah Murah dan Aman, PLN Jamin Kepuasan Pelanggan yang Bertransaksi di PLN Mobile.",Positif
5,"Aplikasi bagus, untuk fitur Pengaduan. Mudah digunakan & sangat membantu",Positif
5,Pelayanan sangat baik 😊,Positif
5,Oke,Positif
5,Sangat membantu,Positif
5,Membantu,Positif
1,"Tolong tindak untuk wilayah ciamis sering terjadi pemadaman listrik, sehari bisa 4 kali, dan itu setiap hari",Negatif
5,Tambah sukses selalu,Positif
5,Aplikasi ini sangat membantu kami masyarakat rote ndao,Positif
5,Aplikasi sudah sangat bagus dan sangat mempermudah dalam transaksi. Perbanyak lagi Hadiah point dan Promo2 lainnya sehingga pelanggan bersemangat untuk Transaksi melalui Aplikasi PLN Mobile. SPKLU juga semakin banyak.,Positif
5,"PLN Mobile sangat mudah digunakan dan sangat membantu, PLN Terbaik👍👍👍",Positif
5,Pln handal semakin baik,Positif
5,PLN MOBILE juoooossssss,Positif
5,Terima kasih PLN,Positif
5,"Terkait org pln saya puas cepat pelayanan, sy kurang puas ats pelayan listriqu hati2 bagi yg intalasi listriknya rusak menggunakn listriqu ada oknum yg tdk beranggung jwb meminta uang tp intalasi listrik sy msh rusak",Netral
5,Pln terbaik,Positif
5,Saya sangat puas dengan pelayanan PLN Mobile,Positif
5,Mantap,Positif
5,APLIKASI YG SANGAT MEMBANTU SAKALI UNTUK GANGGUAN PADA LISTRIK KAMI.,Positif
5,"PLN mobile adalah aplikasi yg sempurna yg dapat mempermudah segala urusan kita dalam hal2 kelistrikan, 👍👍",Positif
5,"terima kasih,PLN MOBILE MANTAP",Positif
5,"aplikasi ini sangat membantu sekali, tidak ribet dan fitur di dalam apk ny juga lengkap,bisa isi pulsa, cek tagihan dll, pokok nya sangat membantu sekali tengkyuu PLN mobile",Positif
5,"PLN Mobil e mantap,tanpa ribet, solusi tepat masalah kelistrikan",Positif
5,Pln mobile sekarang fitur² nya makin bgus dan baik....,Positif
5,PLN MOBILE TERBAIK,Positif
5,"Bagus, sangat membantu",Positif
5,Cepat tanggap dan sigap terimakasih PLN,Positif
5,"Terimakasih, Pln mobike sangat membantu..👍",Positif
5,Bagus pelayananya cepat,Positif
5,sangat terbantu,Positif
5,"Aplikasinya bagus, memudahkan informasi untuk pelanggan PLN.. beli token lebih cepat lewan PLN mobile",Positif
5,Baikk,Positif
5,Mantab. Petugas langsung gercep bertindak setelah ada pengaduan pelanggan. Semoga terus bisa amanah dan memuaskan para pelanggan PLN,Positif
5,Oke,Positif
5,sangat mudah cara pemakaian nya 👍👍👍👍👍👍👍,Positif
5,Pelayanan cekatan cepat tanggap,Positif
5,Aplikasinya sangat membantu saya ketika sedang mengalami gangguan pada kelistrikan atau pun internet,Positif
5,"Memudahkan semua permohonan, pengaduan, catat meter dan pembayaran listrik",Positif
5,Gut,Positif
5,Aplikasi sangat membantu untuk pengaduan terkait masalah kelistrikan. Fast Respon dan petugas sangat ramah!! Terimakasih PLN!!,Positif
5,Terbaik untuk indonesia,Positif
5,Aplikasi sangat membantu dalam urusan sehari hari dan juga sangat user friendly.,Positif
5,Layanan yg membantu,Positif
5,playannya cepat tanggap,Positif
5,Mantap,Positif
5,Laporan keluhan tagihan listrik angka stand meter akurat,Positif
5,Pln mantab,Positif
5,Terimakasih telah membantu,Positif
5,"Fitur di PLN Mobile lebih lengkap, Sangat membantu tks PLN Mobile.",Positif
5,"mantapp, mudah untuk digunakan dalam pembelian pulsa dan pembayaran tagihan listrik",Positif
5,PLN mobil siap cepat handal. mantab,Positif
3,Vitur Saldo Rekening di aplikasi ini belum berfungsi. Tolong segera fungsikan.,Negatif
5,Pln mobile cepet tanggap,Positif
5,Cepat,Positif
5,ok sip,Positif
5,PLN memang Ok mempermudah pembelian pulsa dan pembayaran listrik melalui PLN mobile.,Positif
5,Semoga PLN sering mengadakan promo listrik,Positif
5,pln yang terbaik,Positif
5,Pln mobile memang hebat,Positif
5,Pln cepat tanggap,Positif
5,Mantapp,Positif
5,Aplikasi sangat membantu,Positif
5,Sangat membantu,Positif
5,Sangat bagus👍,Positif
5,"PLN mobile aplikasi nya sangat membantu👍👍, semua nya sangat membantu, terima kasih PLN mobile.",Positif
5,"Update mulu ulasan bosen !!!! Eeeh jangan bosen, dengan kita mengupdate ulasan kita,, menandakan bawah kita sangat suka dengan aplikasi ini, lets goooo",Negatif
5,pln hebat!!,Positif
5,"aplikasi nya sangat membantu, pln mobile terbaik,👍",Positif
5,Sangat membantu,Positif
5,the best PLN pelayanan nya sangat cepat sekali,Positif
5,Mudahan makin bagus app nya,Positif
5,"Pelayanan makin cepat , sigap. Terima kasih diskonnya Love sekebon PLN.",Positif
5,PLN MOBILE MANTAP,Positif
5,"Keren semua jd mudah mau cek tagihan, bayar listrik, beli token, pengaduan tinggal klik byk hadiahnya jg 👍👍👍👍👍",Positif
5,Aplikasi PLN yang sangat membantu untuk keluhan semua listrik.,Positif
5,"Membantu sekali untuk aplikasinya.Beli token makin mudah ,tks PLN MOBILE",Positif
5,Aplikasi yang sangat membantu untuk Lapor keluhan atau pun gangguan Listrik Semoga kedepan aplikasi ini menjadi lebih baik dan terus berkembang Sukses Selalu PLN.,Positif
5,Aplikasi yang Sangat bermanfaat serta membantu dalam setiap keluhan pengguna listrik pln.,Positif
5,Bagus,Positif
5,Sangat membantu,Positif
5,Ok,Positif
5,Sangat solutif masalah kelistrikan...luar biasa aplikasi ini terima kasih PLN 👍👍👍,Positif
5,Aplikasi sangat membantu proses pelaporan gangguan,Positif
5,"Bagus,sangat membantu.",Positif
5,Baik dan lengkap,Positif
5,💪💪💪💪,Positif
5,"Aplikasi PLN Mobile merupakan inovasi terbaru untuk membayar tagihan listrik! Ul-nya mudah digunakan, fitur-fiturnya lengkap seperti cek tagihan, pengaduan, riwayat pembayaran dan informasi promo",Positif
5,aplikasi keren... Solusi mudah listrik di rumah,Positif
5,Aplikasi ini sangat membantu,Positif
5,Thx PLN mobile sangat membantu,Positif
5,"Aplikasinya sangat bagus dan sangat membantu bagi kami pelangan pln,,,,trimakasi pln mobile",Positif
5,"mntap ,keluhan langsung di tanggapi & petugas datang ke rumah 👍",Positif
5,Mantap PLN mobil bertambah lengkap aplikasinya .bisa transaksi kapan dan di mana saja,Positif
5,Pln yes yes yes,Positif
5,Semakin mudah penganduan🥰🥰🥰🥰🥰,Positif
5,Muaannntappp....,Positif
5,pln mobile sangat membantu pada saat pengaduan listrik,Positif
5,Sangat mudah dan lengkap,Positif
5,"aplikasi yang sangat bermanfaat, tidak perlu lagi repot mesti ke kantor PLN",Positif
5,Mantap Pisan,Positif
5,good pln mobile,Positif
5,"Aplikasi pln mobile memberi kemudahan pelanggan,pelanggan sudah tidak perlu datang lagi di kantor",Positif
5,Berbagai fitur yg tersedia. Urusan Listrik jadi lebih mudah dan cepat serta menghemat waktu dan biaya .Ada point yg dapat di tukar dgn berbagai hadiah. Tunggu apalagi ayo down load dan Update versi terbaru pln mobile 🌟🌟🌟🌟🌟👍👍👍,Positif
5,Cepat tepat hamdal,Positif
5,Lengkap dan mudah,Positif
5,Pln mobile mantap cepat..sangat memudahkan dlm hal pelaporan gangguan kelistrikan...sukses terus PLN BANGKA.,Positif
5,"pln mobilee sangattt bagusss sekali bisa pengaduan fitur nya cukupp lengkap bisa pasang baru, keluhan , bnyakk lagii lainnyaa,dan lebih kerennya bisa di gunakan dimana saja dan kapan saja👍👍👍👍👍",Positif
5,PLN mobile sangat bagus dan membantu sekli,Positif
5,Mudah digunakan dan sangat cepat penanganannya,Positif
5,"Apk yg sangat bgus sekali, mudah mengakses di manapun berada, khususnya membantu saya untuk transaksi listrik , semoga bisa selalu pelayanan yg terbaik , Terimakasih PLN mobile 👍👍👍",Positif
5,"Dengan PLN mobile memberikan kenyamanan dalam bertransaksi, seperti pengisian pulsa listrik dan proses2 dalam kelistrikan semua jadi lebih mudah.",Positif
5,Mantap banget pertahankan🤩🤩🤩,Positif
5,Pln tercepat terbaik lebih mudah untuk segala urusan,Positif
5,PLN mobile sangat membantu dalam proses penerangan sementara,Positif
5,Dengan adanya pln mobile segala urusan jdi mudah,Positif
5,Pakai PLN mobile semua semakin mudah👍😇,Positif
5,Sangat membantu,Positif
5,Beli token listrik di PLN Mobile biaya admin lebih murah dari pada aplikasi lainnya,Positif
5,Terbaik,Positif
5,"APLIKASI ini sangat membantu dengan adanya PLN MOBILE kita dapat mengetahui pemberitahuan seputar pln. Puas lah kalau make aplikasi PLN MOBILE, praktis mudah dan aman.",Positif
5,"Dengan adanya aplikasi PLN Mobile ini sangat memudahkan kalo mau tanya2 terkait kelistrikan, karna saya tinggal jauh di desa cukup jauh kalo harus ke kantor pln tumbal. mantapp",Positif
5,PLN mobile sangat membantu respon cepat sapety,Positif
5,Keren banget dan sangat lengkap. Sekarang bisa belanja di pln mobile!!!👍👍,Positif
